"tropeid","tropename"
"tr05322","Believing Their Own Lies"
"tr05323","Big Door"
"tr05324","Bitch Slap"
"tr05325","Boring Return Journey"
"tr05326","Boss Arena Idiocy"
"tr05327","BreakThemWithLies"
"tr05328","Briar Patching"
"tr05329","BringingBackProof"
"tr05330","BronxCheer"
"tr05331","But You Were There, and You, and You"
"tr05332","Can't You Read the Sign?"
"tr05333","Clarke's Third Law"
"tr05334","Clingy MacGuffin"
"tr05335","Cold Reading"
"tr05336","Come Out, Come Out, Wherever You Are"
"tr05337","CopycatMockery"
"tr05338","Corpsing"
"tr05339","Cosmetic Award"
"tr05340","CowardiceCallout"
"tr05341","Cowardly Lion"
"tr05342","Crashing Dreams"
"tr05343","DangerouslyGarishEnvironment"
"tr05344","Death's Hourglass"
"tr05345","Debut Queue"
"tr05346","Deliberately Monochrome"
"tr05347","DirectToVideo"
"tr05348","Don't Go in the Woods"
"tr05349","Dream Land"
"tr05350","DungeonMaster"
"tr05351","Easy Amnesia"
"tr05352","Everything's Better with Rainbows"
"tr05353","Everything's Better with Sparkles"
"tr05354","FallingChandelierOfDoom"
"tr05355","Fire/Water Juxtaposition"
"tr05356","Fireballs"
"tr05357","Forced to Watch"
"tr05358","Funnel Cloud Journey"
"tr05359","G-Rated Drug"
"tr05360","George Lucas Altered Version"
"tr05361","Girlish Pigtails"
"tr05362","Glowing Eyes"
"tr05363","Happy Place"
"tr05364","HerosJourney"
"tr05365","HorseOfADifferentColor"
"tr05366","HospitalEpilogue"
"tr05367","Hostage for MacGuffin"
"tr05368","I Shall Taunt You"
"tr05369","I'm Melting!"
"tr05370","ImpliedInfernalDestination"
"tr05371","Innocent Bigot"
"tr05372","ItWasAllADream"
"tr05373","It Was with You All Along"
"tr05374","It's the Journey That Counts"
"tr05375","JobSong"
"tr05376","Jump Scare"
"tr05377","Kid Hero"
"tr05378","Little People Are Surreal"
"tr05379","Logical Weakness"
"tr05380","Magic Feather"
"tr05381","Magical Land"
"tr05382","Massive Multiplayer Ensemble Number"
"tr05383","MatchstickWeapon"
"tr05384","Miles Gloriosus"
"tr05385","MirrorCharacter"
"tr05386","Missing Child"
"tr05387","Monochrome to Color"
"tr05388","Montage Ends the VHS"
"tr05389","Mordor"
"tr05390","Morphic Resonance"
"tr05391","NeedleworkIsForOldPeople"
"tr05392","Nervous Wreck"
"tr05393","No Song for the Wicked"
"tr05394","No Sympathy"
"tr05395","Not in Kansas Anymore"
"tr05396","Ocular Gushers"
"tr05397","Odd Friendship"
"tr05398","Off to See the Wizard"
"tr05399","On Ice"
"tr05400","Or Was It a Dream?"
"tr05401","Overalls and Gingham"
"tr05402","Pan and Scan"
"tr05403","Parental Bonus"
"tr05404","PhlebotinumProofRobot"
"tr05405","Pink Means Feminine"
"tr05406","Place of Power"
"tr05407","Playing with Fire"
"tr05408","PoppiesOfSleep"
"tr05409","ProneToTears"
"tr05410","RashomonStyle"
"tr05411","Rays from Heaven"
"tr05412","RealAllAlong"
"tr05413","Real Is Brown"
"tr05414","Really Was Born Yesterday"
"tr05415","Red/Green Contrast"
"tr05416","Remaster"
"tr05417","Revolvers Are For Amateurs"
"tr05418","Rewatch Bonus"
"tr05419","Royal Decree"
"tr05420","RustRemovingOil"
"tr05421","SeekingTheIntangible"
"tr05422","Seize Them!"
"tr05423","Self-Guarding Phlebotinum"
"tr05424","ShortScreentimeForReality"
"tr05425","Shut Up and Save Me!"
"tr05426","Sinister Schnoz"
"tr05427","Skip of Innocence"
"tr05428","Snake Oil Salesman"
"tr05429","Solitary Sorceress"
"tr05430","SpeciesSubversives"
"tr05431","SpookyAnimalSounds"
"tr05432","Standard Fantasy Setting"
"tr05433","StayingWithTheSuffering"
"tr05434","StockParody"
"tr05435","Sugar Bowl"
"tr05436","Suppressed Mammaries"
"tr05437","Terms of Endangerment"
"tr05438","The Artifact"
"tr05439","The Fourth Wall Will Not Protect You"
"tr05440","The Main Characters Do Everything"
"tr05441","TheManBehindTheCurtain"
"tr05442","TheTreesHaveFaces"
"tr05443","TheUnseen"
"tr05444","The Villain Sucks Song"
"tr05445","There's No Place Like Home"
"tr05446","Theseus' Ship Paradox"
"tr05447","Thin Chin of Sin"
"tr05448","Think of the Children!"
"tr05449","Third-Person Flashback"
"tr05450","Timey-Wimey Ball"
"tr05451","Tin Man"
"tr05452","Trapped in Another World"
"tr05453","Trickster Mentor"
"tr05454","Troll"
"tr05455","Truck Driver's Gear Change"
"tr05456","True Blue Femininity"
"tr05457","Twice-Told Tale"
"tr05458","TyrannicalTownTycoon"
"tr05459","Tyrannicide"
"tr05460","Unbroken Vigil"
"tr05461","Unexplained Accent"
"tr05462","Vile Villain, Saccharine Show"
"tr05463","Villain Teleportation"
"tr05464","Was Once a Man"
"tr05465","WaterIsBlue"
"tr05466","We Do the Impossible"
"tr05467","Weaksauce Weakness"
"tr05468","Weather Saves the Day"
"tr05469","Wham Shot"
"tr05470","Who's on First?"
"tr05471","Wicked Witch"
"tr05472","Witch with a Capital B"
"tr05473","Year Inside, Hour Outside"
"tr05474","You Can Talk?"
"tr05475","You Have No Chance to Survive"
"tr05476","Your Little Dismissive Diminutive"
"tr05477","Creator's Oddball"
"tr05478","I Am Not Left-Handed"
"tr05479","Saving the Orphanage"
"tr05480","The Magic Poker Equation"
"tr05481","Willfully Weak"
"tr05482","AffairBlameTheBastard"
"tr05483","Ambiguously Human"
"tr05484","Awesome, but Impractical"
"tr05485","Bastard Bastard"
"tr05486","Bastard Boyfriend"
"tr05487","Bit Character"
"tr05488","CareerRevealingTrait"
"tr05489","ChainOfHarm"
"tr05490","Character Narrator"
"tr05491","ContrastingNewLoveInterest"
"tr05492","Create Your Own Villain"
"tr05493","Crush Blush"
"tr05494","DisownedSibling"
"tr05495","Evil Orphan"
"tr05496","How Dare You Die on Me!"
"tr05497","I Regret Nothing"
"tr05498","I'm Cold... So Cold..."
"tr05499","Inciting Incident"
"tr05500","Innocent Blue Eyes"
"tr05501","InterracialAdoptionStruggles"
"tr05502","ItIsDehumanizing"
"tr05503","KnightInShiningArmour"
"tr05504","MajorCharacterMainstreamAccent"
"tr05505","Mix-and-Match Weapon"
"tr05506","MosesInTheBulrushes"
"tr05507","Narrative Profanity Filter"
"tr05508","Offscreen Villain Dark Matter"
"tr05509","Oop North"
"tr05510","Our Ghouls Are Creepier"
"tr05511","Peerless Love Interest"
"tr05512","Pick on Someone Your Own Size"
"tr05513","PublicDomainStories"
"tr05514","Refusal of the Call"
"tr05515","Scholarship Student"
"tr05516","SelfFulfillingProphecy"
"tr05517","Shipper with an Agenda"
"tr05518","Stalking Is Love"
"tr05519","SugarAndIceGuy"
"tr05520","Tangled Family Tree"
"tr05521","Teen Pregnancy"
"tr05522","TheOutsiderBefriendsTheBest"
"tr05523","TheRashomon"
"tr05524","Troubled, but Cute"
"tr05525","Used to Be a Sweet Kid"
"tr05526","Vengeance Feels Empty"
"tr05527","WarHero"
"tr05528","Was It Really Worth It?"
"tr05529","Watsonian vs. Doylist"
"tr05530","Who's Your Daddy?"
"tr05531","Wild Child"
"tr05532","And Another Thing..."
"tr05533","DuelingMovies"
"tr05534","Simple Country Lawyer"
"tr05535","Unfortunate Names"
"tr05536","Young Future Famous People"
"tr05537","Election Day Episode"
"tr05538","TheJoyOfX"
"tr05539","Batman Grabs a Gun"
"tr05540","Doesn't Like Guns"
"tr05541","He's Got a Weapon!"
"tr05542","LactoseOverLiquor"
"tr05543","Recycled: The Series"
"tr05544","Violence Really Is the Answer"
"tr05545","Appropriated Appellation"
"tr05546","Bald of Evil"
"tr05547","Cats Are Mean"
"tr05548","Four Eyes, Zero Soul"
"tr05549","Magic Pants"
"tr05550","Power Source"
"tr05551","Shrink Ray"
"tr05552","These Are Things Man Was Not Meant to Know"
"tr05553","Awesome McCool Name"
"tr05554","Casual Danger Dialog"
"tr05555","Mobstacle Course"
"tr05556","My Nayme Is"
"tr05557","SleepDeprivationPunishment"
"tr05558","Windmill Scenery"
"tr05559","Action Film, Quiet Drama Scene"
"tr05560","Be Quiet! Nudge"
"tr05561","BlackAndGreyMorality"
"tr05562","Career Versus Man"
"tr05563","Counterfeit Cash"
"tr05564","Cowboy Cop"
"tr05565","Gambit Roulette"
"tr05566","HighPoweredCareerWoman"
"tr05567","ImmoralJournalist"
"tr05568","JerkWithTheHeartOfAJerk"
"tr05569","Not-So-Innocent Whistle"
"tr05570","One of the Boys"
"tr05571","StarmakingRole"
"tr05572","Too Dumb to Fool"
"tr05573","Unfulfilled Purpose Misery"
"tr05574","Xanatos Speed Chess"
"tr05575","Distant Prologue"
"tr05576","Knitting Pregnancy Announcement"
"tr05577","Narrator"
"tr05578","Tom Hanks Syndrome"
"tr05579","Accidental Adultery"
"tr05580","Adam and/or Eve"
"tr05581","Cannot Spit It Out"
"tr05582","Legally Dead"
"tr05583","Narrative Poem"
"tr05584","Real Men Eat Meat"
"tr05585","Remarrying for Your Kids"
"tr05586","Reunion Kiss"
"tr05587","Rip Tailoring"
"tr05588","ThoughtYouWereDead"
"tr05589","Exposition Diagram"
"tr05590","I'm a Humanitarian"
"tr05591","Sequel Hook"
"tr05592","WouldntHitAGirl"
"tr05593","Absent Aliens"
"tr05594","Afterlife Antechamber"
"tr05595","Anti-Advice"
"tr05596","Born in the Theatre"
"tr05597","Cerebus Syndrome"
"tr05598","DayInTheLife"
"tr05599","Dream Sequence"
"tr05600","Engaging Conversation"
"tr05601","Everyone Went to School Together"
"tr05602","555"
"tr05603","Gainax Ending"
"tr05604","Gayngst"
"tr05605","IdiosyncraticWipe"
"tr05606","Interactive Narrator"
"tr05607","It Always Rains at Funerals"
"tr05608","Jerk Jock"
"tr05609","Meaningful Funeral"
"tr05610","Medium Awareness"
"tr05611","Mental Time Travel"
"tr05612","Minimalism"
"tr05613","School Play"
"tr05614","This Loser Is You"
"tr05615","We Are as Mayflies"
"tr05616","Adaptation Overdosed"
"tr05617","Absence of Evidence"
"tr05618","Accidental Innuendo"
"tr05619","Accuse the Witness"
"tr05620","Bury Your Gays"
"tr05621","CallouslyCasualCheating"
"tr05622","Caretaker Reversal"
"tr05623","Chilly Reception"
"tr05624","Creepy Blue Eyes"
"tr05625","Cruella to Animals"
"tr05626","Death by Falling Over"
"tr05627","Dragon Their Feet"
"tr05628","11th-Hour Ranger"
"tr05629","EmasculatedCuckold"
"tr05630","Enemy Eats Your Lunch"
"tr05631","Face of an Angel, Mind of a Demon"
"tr05632","GenreBlind"
"tr05633","Gentleman Snarker"
"tr05634","Handsome Lech"
"tr05635","HaughtyHelp"
"tr05636","Innocence Lost"
"tr05637","Innocent Inaccurate"
"tr05638","IntimateHairBrushing"
"tr05639","It's a Costume Party, I Swear!"
"tr05640","Let the Past Burn"
"tr05641","LoveForgivesAllButLust"
"tr05642","My God, You Are Serious"
"tr05643","Never Speak Ill of the Dead"
"tr05644","Present Absence"
"tr05645","Psycho Lesbian"
"tr05646","Raven Hair, Ivory Skin"
"tr05647","ReverseWhodunit"
"tr05648","Shrine to the Fallen"
"tr05649","Shut Up, Hannibal!"
"tr05650","Sidekick Song"
"tr05651","Sincerity Mode"
"tr05652","Single-Target Sexuality"
"tr05653","Sugary Malice"
"tr05654","Suicide Dare"
"tr05655","The All-Concealing I"
"tr05656","The Chain of Harm"
"tr05657","The Mourning After"
"tr05658","The Perfect Crime"
"tr05659","Underage Casting"
"tr05660","Wangst"
"tr05661","Wrong Genre Savvy"
"tr05662","A-Cup Angst"
"tr05663","EthnicMenialLabour"
"tr05664","Feminine Women Can Cook"
"tr05665","HolidayPardon"
"tr05666","Of Corset Hurts"
"tr05667","SugarAndIcePersonality"
"tr05668","Cuckold Horns"
"tr05669","LuPone"
"tr05670","Small Town Rivalry"
"tr05671","Crushing Handshake"
"tr05672","Dropped Glasses"
"tr05673","Eye Take"
"tr05674","Feel No Pain"
"tr05675","PronouncingMyNameForYou"
"tr05676","Removable Steering Wheel"
"tr05677","Suicide as Comedy"
"tr05678","Unsympathetic Comedy Protagonist"
"tr05679","Anthropomorphic Personification"
"tr05680","Bluebird of Happiness"
"tr05681","Color-Coded Elements"
"tr05682","DelicateAndSickly"
"tr05683","Everything Talks"
"tr05684","Female Feline, Male Mutt"
"tr05685","First Girl After All"
"tr05686","Humanity Ensues"
"tr05687","Let's Mock the Monsters"
"tr05688","Light Is Good"
"tr05689","Pan Up to the Sky Ending"
"tr05690","RhymeThemeNaming"
"tr05691","Rhymes on a Dime"
"tr05692","Setting Off Song"
"tr05693","True Beauty Is on the Inside"
"tr05694","VicariousGoldDigger"
"tr05695","Creator-Preferred Adaptation"
"tr05696","Discussed"
"tr05697","Doomed Hometown"
"tr05698","Epiphora"
"tr05699","ForcedFromTheirHome"
"tr05700","Gas Mask Mooks"
"tr05701","Honest John's Dealership"
"tr05702","Iron Lady"
"tr05703","Last-Second Chance"
"tr05704","Messianic Archetype"
"tr05705","Significant Monogram"
"tr05706","Talk to the Fist"
"tr05707","TheGreatDesolatePlains"
"tr05708","The Promised Land"
"tr05709","There Are No Good Executives"
"tr05710","Unnamed Parent"
"tr05711","Walking the Earth"
"tr05712","What Is Evil?"
"tr05713","WhiteAndGreyMorality"
"tr05714","A God I Am Not"
"tr05715","Adolf Hitlarious"
"tr05716","AgonyOfTheFeet"
"tr05717","Batman in My Basement"
"tr05718","Bicep-Polishing Gesture"
"tr05719","Black Speech"
"tr05720","Cannon Fodder"
"tr05721","Chest of Medals"
"tr05722","Clock Tower"
"tr05723","Commissar Cap"
"tr05724","Dedication"
"tr05725","Defector from Decadence"
"tr05726","Delegation Relay"
"tr05727","Democracy Is Bad"
"tr05728","Diseased Name"
"tr05729","DressedToOppress"
"tr05730","DrunkWithPower"
"tr05731","Egopolis"
"tr05732","Facepalm"
"tr05733","Foreign Correspondent"
"tr05734","General Failure"
"tr05735","GodwinsLawOfFacialHair"
"tr05736","Got the Whole World in My Hand"
"tr05737","Greeting Gesture Confusion"
"tr05738","Hammerspace Parachute"
"tr05739","Knight of Cerebus"
"tr05740","Laughably Evil"
"tr05741","Military Mashup Machine"
"tr05742","OppressedMinorityVeteran"
"tr05743","Our Lawyers Advised This Trope"
"tr05744","Politicians Kiss Babies"
"tr05745","Prince and Pauper"
"tr05746","Puny Parachute"
"tr05747","RapeAsComedy"
"tr05748","Rapid-Fire Typing"
"tr05749","Rip Van Winkle"
"tr05750","Rushmore Refacement"
"tr05751","Satire"
"tr05752","Someone Has to Die"
"tr05753","Spock Speak"
"tr05754","Studio Audience"
"tr05755","Tactful Translation"
"tr05756","Take Over the World"
"tr05757","TheDictatorship"
"tr05758","The Generalissimo"
"tr05759","The Social Darwinist"
"tr05760","Too Long; Didn't Dub"
"tr05761","Translation: Yes"
"tr05762","Unnecessarily Large Interior"
"tr05763","Unnecessary Makeover"
"tr05764","Vile Villain, Laughable Lackey"
"tr05765","Fashion-Victim Villain"
"tr05766","No Badass to His Valet"
"tr05767","Two Lines, No Waiting"
"tr05768","Vote Early, Vote Often"
"tr05769","You Got Guts"
"tr05770","Cigar Chomper"
"tr05771","Contrasting Sequel Main Character"
"tr05772","Drunk on the Dark Side"
"tr05773","Kind Restraints"
"tr05774","Psycho Serum"
"tr05775","Reluctant Psycho"
"tr05776","Revenge of the Sequel"
"tr05777","See the Invisible"
"tr05778","Burial at Sea"
"tr05779","Apologetic Attacker"
"tr05780","Costume Evolution"
"tr05781","Dancing Is Serious Business"
"tr05782","Diagonal Cut"
"tr05783","DiskOneFinalBoss"
"tr05784","Implied Death Threat"
"tr05785","Meet the New Boss"
"tr05786","The Blade Always Lands Pointy End In"
"tr05787","The Reveal Prompts Romance"
"tr05788","To Be Lawful or Good"
"tr05789","Zorro Mark"
"tr05790","BirthdayBeginning"
"tr05791","Day of the Jackboot"
"tr05792","Silent Credits"
"tr05793","The Heart"
"tr05794","Adam Westing"
"tr05795","Beat Them at Their Own Game"
"tr05796","BlamingTheCuckold"
"tr05797","Contrived Clumsiness"
"tr05798","Drinking on Duty"
"tr05799","Drunken Song"
"tr05800","Face Palm of Doom"
"tr05801","Face Palm of Doom"
"tr05802","Flowery Elizabethan English"
"tr05803","Full-Name Basis"
"tr05804","Hair of the Dog"
"tr05805","PropheticName"
"tr05806","Running Gag Stumbles"
"tr05807","The Chikan"
"tr05808","The McCoy"
"tr05809","You Didn't Ask"
"tr05810","Evil Chancellor"
"tr05811","Going Down with the Ship"
"tr05812","Slave Galley"
"tr05813","Socially Awkward Hero"
"tr05814","Why Won't You Die?"
"tr05815","AcquaintedInRealLife"
"tr05816","Dating Service Disaster"
"tr05817","Expospeak Gag"
"tr05818","FoundFamilyViaWork"
"tr05819","Living with the Villain"
"tr05820","Pen Pals"
"tr05821","Repeating so the Audience Can Hear"
"tr05822","10-Minute Retirement"
"tr05823","The Comically Serious"
"tr05824","TheFriendNoOneLikes"
"tr05825","Thinks Like a Romance Novel"
"tr05826","Took a Level in Jerkass"
"tr05827","Two-Person Love Triangle"
"tr05828","UnseenPenPal"
"tr05829","You! Exclamation"
"tr05830","All a Part of the Job"
"tr05831","Billing Displacement"
"tr05832","Near-Villain Victory"
"tr05833","Just One More Level"
"tr05834","Lady Macbeth"
"tr05835","Loan Shark"
"tr05836","Sleeping with the Boss's Wife"
"tr05837","Good Girls Avoid Abortion"
"tr05838","Hollywood Atlas"
"tr05839","Mail-Order Bride"
"tr05840","Wedding Ring Defense"
"tr05841","FirstGuyWins"
"tr05842","Her Heart Will Go On"
"tr05843","MsExposition"
"tr05844","MsImagination"
"tr05845","AccidentalDeclarationOfLove"
"tr05846","Apron Matron"
"tr05847","Big Ball of Violence"
"tr05848","Bruiser with a Soft Center"
"tr05849","Burlesque"
"tr05850","Cement Shoes"
"tr05851","FaintsInShock"
"tr05852","Gibberish of Love"
"tr05853","Innocent Fanservice Girl"
"tr05854","Lipstick Mark"
"tr05855","Loving Details"
"tr05856","Luminescent Blush"
"tr05857","Moll"
"tr05858","My Card"
"tr05859","No Social Skills"
"tr05860","Not Big Enough for the Two of Us"
"tr05861","PerfectSolutionFallacy"
"tr05862","Post-Kiss Catatonia"
"tr05863","Seriously Scruffy"
"tr05864","Settle It Without Weapons"
"tr05865","6 Is 9"
"tr05866","Talking Through Technique"
"tr05867","TheyKnowTooMuch"
"tr05868","Weakness Turns Her On"
"tr05869","Why Can't I Hate You?"
"tr05870","William Telling"
"tr05871","Word-Salad Humor"
"tr05872","Biopic"
"tr05873","Auteur License"
"tr05874","Citizenship Marriage"
"tr05875","Diagonal Billing"
"tr05876","Body Surf"
"tr05877","DivineMisfile"
"tr05878","Dreadful Musician"
"tr05879","Stealth Sequel"
"tr05880","Cartwright Curse"
"tr05881","Genre Turning Point"
"tr05882","Just Got Out of Jail"
"tr05883","Never Going Back to Prison"
"tr05884","PistolWhipping"
"tr05885","Retirony"
"tr05886","The Caper"
"tr05887","Boxing Lesson"
"tr05888","Child Prodigy"
"tr05889","Coming-of-Age Story"
"tr05890","Growing Up Sucks"
"tr05891","Nostalgic Narrator"
"tr05892","Offhand Backhand"
"tr05893","Precocious Crush"
"tr05894","Glamorous Wartime Singer"
"tr05895","Grumpy Old Man"
"tr05896","NeighbourhoodFriendlyGangsters"
"tr05897","Accidental Truth"
"tr05898","Chronic Hero Syndrome"
"tr05899","Everyone Calls Him Barkeep"
"tr05900","Liar Revealed"
"tr05901","Mr. Smith"
"tr05902","You Are Not Alone"
"tr05903","Catholic School Girls Rule"
"tr05904","Preacher Man"
"tr05905","The Church"
"tr05906","Empathy Doll Shot"
"tr05907","FortuneCookieGag"
"tr05908","African Chant"
"tr05909","And I'm the Queen of Sheba"
"tr05910","Captured by Cannibals"
"tr05911","Pardon My Klingon"
"tr05912","Talent Double"
"tr05913","Draft Dodging"
"tr05914","KidnappedFromBehind"
"tr05915","Martial Pacifist"
"tr05916","Religious Bruiser"
"tr05917","CountingSheep"
"tr05918","DangerousClifftopRoad"
"tr05919","Fourth Wall Psych"
"tr05920","Perfectly Cromulent Word"
"tr05921","Silly Will"
"tr05922","Sociopath"
"tr05923","Dented Iron"
"tr05924","Lady of War"
"tr05925","Loved I Not Honor More"
"tr05926","Eat the Evidence"
"tr05927","Enemies List"
"tr05928","Parallel Porn Titles"
"tr05929","Animated Credits Opening"
"tr05930","Con Man"
"tr05931","Doppelgänger Replacement Love Interest"
"tr05932","Fake Twin Gambit"
"tr05933","Gender-Inverted Trope"
"tr05934","Genius Ditz"
"tr05935","Names to Trust Immediately"
"tr05936","Once per Episode"
"tr05937","Silent Treatment"
"tr05938","Wildlife Commentary Spoof"
"tr05939","You Have to Believe Me!"
"tr05940","Corrupt the Cutie"
"tr05941","FictionFiveHundred"
"tr05942","HatedByAll"
"tr05943","Hollywood Heart Attack"
"tr05944","Hollywood Old"
"tr05945","Jacob Marley Warning"
"tr05946","Murder by Inaction"
"tr05947","ParentalSquabbleScare"
"tr05948","Pottery Barn Poor"
"tr05949","Stupid Evil"
"tr05950","White Sheep"
"tr05951","Sequel Series"
"tr05952","All Animals Are Dogs"
"tr05953","Animate Inanimate Object"
"tr05954","Anthology Film"
"tr05955","Artistic License  Film Production"
"tr05956","AvianFlute"
"tr05957","Brainy Baby"
"tr05958","Commonality Connection"
"tr05959","Contractual Genre Blindness"
"tr05960","DelightfulDragon"
"tr05961","DragonsVersusKnights"
"tr05962","Early-Bird Cameo"
"tr05963","FakeAFight"
"tr05964","Faux to Guide"
"tr05965","Interspecies Friendship"
"tr05966","IsThisWhatAngerFeelsLike"
"tr05967","Knight Errant"
"tr05968","Limited Animation"
"tr05969","Make It Look Like a Struggle"
"tr05970","Mid-Battle Tea Break"
"tr05971","Monster Façade"
"tr05972","Moody Mount"
"tr05973","ObliviousToHisOwnDescription"
"tr05974","Our Dragons Are Different"
"tr05975","PearShapedGentleGiant"
"tr05976","Reluctant Monster"
"tr05977","Rewind Gag"
"tr05978","Roger Rabbit Effect"
"tr05979","Silent Snarker"
"tr05980","Sissy Villain"
"tr05981","The Short Guy with Glasses"
"tr05982","At Least I Admit It"
"tr05983","Camp Cook"
"tr05984","CourtJester"
"tr05985","Fingore"
"tr05986","Hookers and Blow"
"tr05987","LateToTheTragedy"
"tr05988","Lost at Sea"
"tr05989","Lust"
"tr05990","SavedToEnslave"
"tr05991","Seadog Peg Leg"
"tr05992","Teeth-Clenched Teamwork"
"tr05993","Threatening Shark"
"tr05994","Ubermensch"
"tr05995","Annoying Laugh"
"tr05996","Casanova Wannabe"
"tr05997","Fall Guy"
"tr05998","Have I Mentioned I Am Sexually Active Today?"
"tr05999","I Have to Wash My Hair"
"tr06000","Straw Feminist"
"tr06001","You Won't Feel a Thing"
"tr06002","Guns Akimbo"
"tr06003","Hero Insurance"
"tr06004","Last Stand"
"tr06005","Non-Uniform Uniform"
"tr06006","Trademark Favorite Food"
"tr06007","Accidental Dance Craze"
"tr06008","Dancing Royalty"
"tr06009","Film"
"tr06010","VirginWhoreComplex"
"tr06011","Enemy Mine"
"tr06012","Handbag of Hurt"
"tr06013","One Crazy Night"
"tr06014","Speak in Unison"
"tr06015","Suicide Attack"
"tr06016","There Was a Door"
"tr06017","Unexpected Virgin"
"tr06018","We Interrupt This Program"
"tr06019","Western Animation"
"tr06020","Ceiling Cling"
"tr06021","Hiding Behind the Language Barrier"
"tr06022","I Will Only Slow You Down"
"tr06023","Riding into the Sunset"
"tr06024","Switch to English"
"tr06025","The Squad"
"tr06026","Balloonacy"
"tr06027","Butter Face"
"tr06028","Camera Abuse"
"tr06029","Had the Silly Thing in Reverse"
"tr06030","Half the Man He Used to Be"
"tr06031","Hyperspace Wardrobe"
"tr06032","In-Universe Camera"
"tr06033","Invisible Holes"
"tr06034","Kitchen Sink Included"
"tr06035","Live Mink Coat"
"tr06036","NonFatalExplosions"
"tr06037","Our Demons Are Different"
"tr06038","Our Slogan Is Terrible"
"tr06039","Rake Take"
"tr06040","Surprise Slide Staircase"
"tr06041","The Door Slams You"
"tr06042","Time Marches On"
"tr06043","Water Wake-up"
"tr06044","BabyNewYear"
"tr06045","Call to Agriculture"
"tr06046","Dreaming of a White Christmas"
"tr06047","Failure Montage"
"tr06048","FatherTime"
"tr06049","Self-Plagiarism"
"tr06050","The Bro Code"
"tr06051","Whoopi Epiphany Speech"
"tr06052","All Witches Have Cats"
"tr06053","Archnemesis Dad"
"tr06054","Brought Down to Normal"
"tr06055","ChildMage"
"tr06056","Curse"
"tr06057","Elemental Powers"
"tr06058","Flying Broomstick"
"tr06059","Genie in a Bottle"
"tr06060","Hollywood Tone-Deaf"
"tr06061","Hot Witch"
"tr06062","Landslide Election"
"tr06063","Magic Music"
"tr06064","Naked on Arrival"
"tr06065","NewEnglandPuritan"
"tr06066","OurWitchesAreDifferent"
"tr06067","Sealed Evil in a Can"
"tr06068","Adaptation Personality Change"
"tr06069","Adaptational Karma"
"tr06070","Crusading Lawyer"
"tr06071","Drama Bomb"
"tr06072","The Film of the Book"
"tr06073","The Scapegoat"
"tr06074","The Unapologetic"
"tr06075","Animal Nemesis"
"tr06076","Cats Hate Water"
"tr06077","Gold Fever"
"tr06078","Human-Focused Adaptation"
"tr06079","Narrator All Along"
"tr06080","One-Hit Kill"
"tr06081","Speaks Fluent Animal"
"tr06082","Swallowed Whole"
"tr06083","Talking Animal"
"tr06084","TarzanBoy"
"tr06085","VoluntaryShapeshifter"
"tr06086","I Can't Feel My Legs"
"tr06087","Chummy Commies"
"tr06088","Citadel City"
"tr06089","It's Raining Men"
"tr06090","Spreading Disaster Map Graphic"
"tr06091","Astronomic Zoom"
"tr06092","Award-Bait Song"
"tr06093","Big Bad Wannabe"
"tr06094","Big, Thin, Short Trio"
"tr06095","BumblingHenchmenDuo"
"tr06096","By Wall That Is Holey"
"tr06097","Character Action Title"
"tr06098","Construction Zone Calamity"
"tr06099","Four-Fingered Hands"
"tr06100","Four-Legged Insect"
"tr06101","Gross-Up Close-Up"
"tr06102","Humanlike Foot Anatomy"
"tr06103","Humans Are Cthulhu"
"tr06104","Impossible Hourglass Figure"
"tr06105","Iron Butt-Monkey"
"tr06106","Mouse World"
"tr06107","Non-Mammal Mammaries"
"tr06108","Scavenged Punk"
"tr06109","Species Surname"
"tr06110","UglyGuyHotGirlfriend"
"tr06111","You Wouldn't Hit a Guy with Glasses?"
"tr06112","Absurdly Youthful Mother"
"tr06113","Boarding School"
"tr06114","Cerebus Call Back"
"tr06115","ChristieTime"
"tr06116","Dangerous Deserter"
"tr06117","Double Subversion"
"tr06118","Dumbass Teenage Son"
"tr06119","English Rose"
"tr06120","First Law of Tragicomedies"
"tr06121","HollywoodNight"
"tr06122","Kindhearted Cat Lover"
"tr06123","Law of Conservation of Normality"
"tr06124","Racist Grandma"
"tr06125","Second-Hand Storytelling"
"tr06126","Tokyo Rose"
"tr06127","Trapped Behind Enemy Lines"
"tr06128","Trash the Set"
"tr06129","Conscience Makes You Go Back"
"tr06130","Creepy Mortician"
"tr06131","Indecisive Parody"
"tr06132","AbsurdlyElderlyMother"
"tr06133","Amicable Exes"
"tr06134","Big Ol' Eyebrows"
"tr06135","Children Raise You"
"tr06136","Crazy Cat Lady"
"tr06137","Driven to Madness"
"tr06138","Evil Matriarch"
"tr06139","MentalHealthRecoveryArc"
"tr06140","ParentsAreWrong"
"tr06141","Parting Words Regret"
"tr06142","Spinster"
"tr06143","Troubled Child"
"tr06144","Gag Dub"
"tr06145","Guardian Angel"
"tr06146","HighTechHeaven"
"tr06147","Insubstantial Ingredients"
"tr06148","What Were They Selling Again?"
"tr06149","Writer's Block Montage"
"tr06150","Abandon Ship"
"tr06151","Men Are Strong, Women Are Pretty"
"tr06152","War Movies"
"tr06153","Amnesiac Hero"
"tr06154","Amnesiac Lover"
"tr06155","Edgy Backwards Chair-Sitting"
"tr06156","The Jail Bait Wait"
